order_id,session_id,user_id,order_date,order_value,items_count,used_discount,payment_method
0,7,13,2024-01-01,16.83,1,False,paypal
1,15,36,2024-01-01,16.18,1,False,card
2,16,37,2024-01-01,32.14,1,True,card
3,29,72,2024-01-01,76.87,2,True,card
4,32,81,2024-01-01,76.81,1,False,card
5,35,87,2024-01-01,33.86,1,False,paypal
6,38,96,2024-01-01,14.13,1,True,paypal
7,41,105,2024-01-01,24.65,1,True,paypal
8,44,115,2024-01-01,22.09,1,True,card
9,55,154,2024-01-01,80.71,3,True,paypal
10,56,157,2024-01-01,33.6,1,False,card
11,72,203,2024-01-01,44.6,3,True,card
12,76,222,2024-01-01,13.72,1,True,card
13,84,241,2024-01-01,67.05,2,True,card
14,88,250,2024-01-01,33.2,3,False,card
15,91,263,2024-01-01,29.23,2,True,card
16,96,279,2024-01-01,23.43,1,False,paypal
17,98,284,2024-01-01,11.47,1,False,card
18,102,292,2024-01-01,37.45,1,True,card
19,111,316,2024-01-01,271.51,3,False,card
20,116,330,2024-01-01,114.99,1,True,card
21,119,335,2024-01-01,77.45,2,False,crypto
22,121,341,2024-01-01,36.37,1,True,card
23,123,346,2024-01-01,143.32,2,False,paypal
24,126,352,2024-01-01,151.53,6,False,card
25,143,396,2024-01-01,131.24,1,False,card
26,157,433,2024-01-01,42.25,1,True,card
27,159,444,2024-01-01,61.15,2,True,paypal
28,172,480,2024-01-01,96.92,2,False,paypal
29,176,494,2024-01-01,25.24,2,False,card
30,178,500,2024-01-01,224.58,4,True,card
31,184,522,2024-01-01,51.22,2,True,card
32,185,525,2024-01-01,382.44,5,False,paypal
33,189,533,2024-01-01,60.37,2,False,card
34,191,544,2024-01-01,28.12,2,True,paypal
35,192,549,2024-01-01,57.0,2,True,card
36,197,562,2024-01-01,36.09,1,False,paypal
37,200,566,2024-01-01,35.06,4,True,card
38,205,583,2024-01-01,197.18,5,False,card
39,209,598,2024-01-01,110.37,3,False,card
40,211,601,2024-01-01,151.96,6,False,card
41,214,607,2024-01-01,22.4,1,True,card
42,225,628,2024-01-01,26.96,1,True,paypal
43,229,641,2024-01-01,43.1,1,True,paypal
44,230,644,2024-01-01,47.18,3,True,card
45,233,653,2024-01-01,75.01,1,False,card
46,237,665,2024-01-01,19.11,1,False,paypal
47,240,670,2024-01-01,35.09,1,False,crypto
48,246,683,2024-01-01,14.51,1,False,paypal
49,250,687,2024-01-01,59.69,2,False,card
50,251,689,2024-01-01,78.46,2,False,card
51,256,697,2024-01-01,27.3,1,False,card
52,260,708,2024-01-01,77.28,2,True,paypal
53,266,723,2024-01-01,178.44,1,False,card
54,274,756,2024-01-01,17.98,1,True,card
55,279,764,2024-01-01,79.37,1,False,card
56,296,814,2024-01-01,26.93,1,True,card
57,302,826,2024-01-01,30.97,1,True,card
58,304,828,2024-01-01,23.66,1,False,crypto
59,312,846,2024-01-01,107.1,4,False,paypal
60,313,847,2024-01-01,23.55,1,True,card
61,332,894,2024-01-01,38.05,1,True,card
62,333,896,2024-01-01,219.58,4,False,crypto
63,336,899,2024-01-01,77.15,5,False,card
64,343,910,2024-01-01,179.8,4,False,paypal
