user_id,persona,current_state,login_rate,avg_days_between_orders,avg_order_value,items_per_order,discount_sensitivity,session_length
0,casual_buyer,active,0.28250879551073577,33.41178035410031,94.1359589938329,3,0.22608164978882486,9
1,casual_buyer,active,0.25965129520599456,28.623537015080416,57.635249763255736,2,0.44282913700334803,5
2,casual_buyer,reactivated,0.48716392166203437,17.318646084503698,47.73731014667712,3,0.38111780941006734,13
3,casual_buyer,active,0.3656121893819681,30.462993809106152,108.93655202486218,2,0.4113715508644771,5
4,casual_buyer,active,0.23030042882291873,30.892111106610002,69.18657431760674,2,0.2628521092314463,7
5,casual_buyer,active,0.4187380393851048,24.486386043941195,119.16186805092762,2,0.3670849231323939,11
6,casual_buyer,active,0.2946359144177246,20.27457108965816,115.43277714680436,3,0.2944033642395434,11
7,casual_buyer,active,0.273988252308195,21.568540213073383,86.76687921788324,3,0.3198201515421192,7
8,casual_buyer,cooling_down,0.23289473910519776,34.8019841090741,73.77279734397473,1,0.314485785951961,14
9,casual_buyer,cooling_down,0.4162165458080584,28.42425826021988,61.346015196203425,2,0.23346565207876294,9
10,casual_buyer,active,0.3501758339150895,37.815695983620515,109.64148558694136,1,0.39168484845980156,11
11,one_time_buyer,cooling_down,0.12955305082927665,179.1429156762851,31.363371967008263,1,0.5514887511292736,6
12,heavy_buyer,cooling_down,0.6714133630169697,2.346062592341918,209.30236809372937,5,0.025678292899952562,17
13,window_shopper,active,0.48471928217683286,147.59172829079714,16.034531901690876,1,0.6980597426643578,31
14,casual_buyer,active,0.3014256686442366,20.752868314914423,57.617390756124756,1,0.3893308871810297,7
15,casual_buyer,active,0.40069333348888414,18.307796218125624,114.84113924645368,2,0.34180130789353824,12
16,window_shopper,active,0.5694314492079684,147.48910193518208,30.200936418799046,1,0.33936714846078353,25
17,casual_buyer,high_intent,0.3345840643499396,21.96362861667351,59.98451583056804,3,0.3329392235160371,13
18,discount_hunter,reactivated,0.6875985029139005,31.217393360357637,28.315555530195702,1,0.7641241897597545,12
19,casual_buyer,reactivated,0.4352211805845708,25.575187149754072,116.58541126877385,3,0.3667304970216855,12
20,window_shopper,active,0.6168780805497097,66.85983274889797,27.525327833769136,1,0.6410879568193141,18
21,window_shopper,active,0.6700850214416361,74.38639367365491,36.70861942388312,1,0.5378076614133764,30
22,heavy_buyer,active,0.7010647998558841,3.19342976307923,147.28359395451326,4,0.059999415959752445,14
23,loyal_customer,active,0.848633756749283,7.131543122670404,194.2561161301124,7,0.08808641736864396,27
24,one_time_buyer,active,0.14175166485889254,269.8434873704515,30.547617500651057,1,0.31975150087999116,5
25,casual_buyer,cooling_down,0.36596709226544477,30.1207456757556,97.40897497110383,1,0.39027138766552394,7
26,casual_buyer,active,0.3270727317691179,15.088642227194558,101.68953784157017,2,0.27858657873030446,12
27,casual_buyer,inactive,0.4649319179900429,28.63975723013806,106.76760159088134,2,0.2444281356702448,6
28,discount_hunter,cooling_down,0.6595698546105898,16.23824348057311,25.13968108358928,2,0.9652404104353027,12
29,discount_hunter,cooling_down,0.6904824131723851,32.03540511658311,21.239318094909436,2,0.7996556403839286,19
30,casual_buyer,active,0.43621235274064135,36.80416957265224,108.68746010702253,1,0.4449759816790787,9
31,casual_buyer,cooling_down,0.2579389364983126,36.60882355075716,117.35112832386889,1,0.3924445215822883,8
32,casual_buyer,active,0.4911201833066684,39.06335789403889,61.23730900183749,1,0.3303691275693933,12
33,casual_buyer,active,0.3729764130489799,32.719632095854266,40.13530225749036,3,0.3615355991278376,12
34,casual_buyer,active,0.39927130547338174,22.84789112645899,107.84122236050683,3,0.2900966804633793,8
35,casual_buyer,active,0.3261339001318725,31.932948631818324,112.22444365860662,2,0.2902849623696696,10
36,window_shopper,active,0.6618822494812286,113.05917591657689,16.41104202967301,1,0.6604723303313016,34
37,window_shopper,cooling_down,0.5340753021639204,150.13657650488787,30.18387011671501,1,0.37965197309063065,15
38,casual_buyer,inactive,0.32433230329931584,19.860880918492732,95.7083400392404,2,0.2731953318735317,11
39,casual_buyer,active,0.3275438581828203,38.9491510569885,81.43662003549926,1,0.2747594838979915,13
40,loyal_customer,active,0.708408311464297,13.91425925810437,291.5426503732936,6,0.0504778164824402,26
41,window_shopper,active,0.5036766193860078,136.51937241313874,32.97441052891496,1,0.5506993747927125,21
42,casual_buyer,active,0.36204566675553695,20.781536993204668,95.51598498392418,3,0.21926865521416344,9
43,window_shopper,cooling_down,0.7619353913360708,143.46275837975617,35.701960969118026,1,0.45215241157108466,15
44,heavy_buyer,active,0.7547553206574555,4.730661548669195,182.55294012001104,2,0.04388432692428723,16
45,window_shopper,active,0.4660178924814036,75.31533567373928,28.66770882922194,1,0.45760810253588186,29
46,window_shopper,active,0.42011385339545104,85.39923410537779,19.805374146439256,1,0.4516504862256545,33
47,casual_buyer,active,0.36182571437676014,23.749008593004596,92.01152745998999,3,0.3955263965731668,12
48,casual_buyer,active,0.23786629246226187,29.09923954825048,57.437163272520294,3,0.4300694295068722,6
49,discount_hunter,inactive,0.685888309213635,10.64196063743665,35.59786221973476,2,0.9874518514617687,12
50,window_shopper,active,0.4407605221783906,162.03518869065556,28.012348444505324,1,0.6935377406058685,34
51,window_shopper,inactive,0.5364924699445133,158.67971017080697,13.166166119319957,1,0.5542340424405783,35
52,heavy_buyer,active,0.7175205990968503,4.690864532241279,162.19457566014336,3,0.14620524286102446,14
53,discount_hunter,active,0.3975453756763824,25.258292605763017,38.9494652064132,1,0.9552858508937377,10
54,discount_hunter,active,0.5804735001328807,10.253777860966927,67.40312888885157,1,0.9160223992312583,13
55,window_shopper,inactive,0.717173147252927,86.59156805670362,30.753614658856055,1,0.5326222341329468,26
56,casual_buyer,active,0.4108564826557307,21.28509190502354,49.652470780184466,1,0.23586642237651587,10
57,window_shopper,active,0.6898340004372207,122.95642429303294,18.48996109824865,1,0.37764703123642934,20
58,casual_buyer,active,0.49228847933082137,32.43543482275486,50.102359436672714,3,0.34726360835713366,13
59,casual_buyer,active,0.21541301515507336,26.943229681642194,105.76925162395443,2,0.22222465107669195,11
