order_id,session_id,user_id,order_date,order_value,items_count,used_discount,payment_method
0,7,13,2024-01-01,17.81,1,False,card
1,15,36,2024-01-01,17.88,1,True,card
2,16,37,2024-01-01,29.84,1,True,card
3,29,72,2024-01-01,59.95,2,True,card
4,32,81,2024-01-01,71.4,1,False,paypal
5,35,87,2024-01-01,33.14,1,True,crypto
6,38,96,2024-01-01,12.08,1,True,paypal
7,41,105,2024-01-01,26.11,1,False,card
8,44,115,2024-01-01,24.16,1,False,paypal
9,55,154,2024-01-01,75.71,2,False,card
10,56,157,2024-01-01,36.29,1,True,card
11,72,203,2024-01-01,52.15,4,True,card
12,76,222,2024-01-01,12.77,1,True,paypal
13,84,241,2024-01-01,87.29,2,False,card
14,88,250,2024-01-01,39.13,3,False,card
15,91,263,2024-01-01,32.32,3,True,card
16,96,279,2024-01-01,28.01,1,False,card
17,98,284,2024-01-01,11.82,1,False,card
18,102,292,2024-01-01,41.52,1,True,paypal
19,111,316,2024-01-01,322.09,4,True,card
20,116,330,2024-01-01,108.72,1,False,paypal
21,119,335,2024-01-01,79.32,1,False,card
22,121,341,2024-01-01,42.83,1,False,card
23,123,346,2024-01-01,127.69,2,False,card
24,126,352,2024-01-01,161.94,6,False,card
25,143,396,2024-01-01,139.71,2,False,card
26,157,433,2024-01-01,57.02,1,True,card
27,159,444,2024-01-01,52.63,2,True,card
28,172,480,2024-01-01,121.49,2,False,card
29,176,494,2024-01-01,27.12,2,True,card
30,178,500,2024-01-01,219.87,3,True,card
31,184,522,2024-01-01,43.83,2,True,card
32,185,525,2024-01-01,419.77,5,False,crypto
33,189,533,2024-01-01,69.86,2,False,card
34,191,544,2024-01-01,27.1,2,True,card
35,192,549,2024-01-01,75.81,2,True,paypal
36,197,562,2024-01-01,34.35,1,False,card
37,200,566,2024-01-01,42.42,3,False,card
38,205,583,2024-01-01,257.87,5,False,paypal
39,209,598,2024-01-01,108.69,2,False,card
40,211,601,2024-01-01,118.11,6,False,card
41,214,607,2024-01-01,22.71,1,True,card
42,225,628,2024-01-01,32.0,1,True,card
43,229,641,2024-01-01,41.77,1,True,card
44,230,644,2024-01-01,62.26,2,True,paypal
45,233,653,2024-01-01,64.03,1,True,card
46,237,665,2024-01-01,17.28,1,False,card
47,240,670,2024-01-01,29.88,1,False,card
48,246,683,2024-01-01,14.36,1,True,card
49,250,687,2024-01-01,69.25,2,False,card
50,251,689,2024-01-01,76.41,2,True,card
51,256,697,2024-01-01,22.4,1,False,paypal
52,260,708,2024-01-01,90.05,3,False,paypal
53,266,723,2024-01-01,152.65,2,False,card
54,274,756,2024-01-01,18.38,1,False,card
55,279,764,2024-01-01,83.81,1,False,card
56,296,814,2024-01-01,25.34,1,True,card
57,302,826,2024-01-01,33.04,1,True,card
58,304,828,2024-01-01,21.22,1,True,card
59,312,846,2024-01-01,103.22,3,False,card
60,313,847,2024-01-01,23.97,1,False,card
61,332,894,2024-01-01,41.4,1,True,card
62,333,896,2024-01-01,239.66,2,False,card
63,336,899,2024-01-01,95.24,6,False,card
