user_id,persona,current_state,login_rate,avg_days_between_orders,avg_order_value,items_per_order,discount_sensitivity,session_length,device,traffic_source,conversion_rate,total_logins,last_date_login
0,casual_buyer,active,0.2825087955107357,33.41178035410031,94.1359589938329,3,0.2260816497888248,9,mobile,organic,0.08340066817018257,202,2026-01-01
1,casual_buyer,active,0.2596512952059945,28.623537015080416,57.635249763255736,2,0.442829137003348,5,desktop,organic,0.02175781427572827,203,2025-12-25
2,casual_buyer,reactivated,0.4871639216620343,17.318646084503698,47.73731014667712,3,0.3811178094100673,13,desktop,email,0.06505741649046055,442,2026-01-01
3,casual_buyer,active,0.3656121893819681,30.462993809106152,108.93655202486218,2,0.4113715508644771,5,mobile,email,0.014436194309452484,276,2025-12-31
4,casual_buyer,active,0.2303004288229187,30.89211110661,69.18657431760674,2,0.2628521092314463,7,mobile,organic,0.04586656184667249,164,2025-12-29
5,casual_buyer,active,0.4187380393851048,24.486386043941195,119.16186805092762,2,0.3670849231323939,11,desktop,email,0.027641325198167657,309,2025-12-24
6,casual_buyer,active,0.2946359144177246,20.27457108965816,115.43277714680436,3,0.2944033642395434,11,desktop,organic,0.08271359761237242,210,2025-12-31
7,casual_buyer,active,0.273988252308195,21.568540213073383,86.76687921788324,3,0.3198201515421192,7,mobile,organic,0.03339258405965525,189,2026-01-01
8,casual_buyer,cooling_down,0.2328947391051977,34.8019841090741,73.77279734397473,1,0.314485785951961,14,mobile,organic,0.02787704752352327,95,2025-12-28
9,casual_buyer,cooling_down,0.4162165458080584,28.42425826021988,61.34601519620343,2,0.2334656520787629,9,mobile,ad,0.08371447609365215,195,2026-01-01
10,casual_buyer,active,0.3501758339150895,37.81569598362052,109.64148558694136,1,0.3916848484598015,11,mobile,organic,0.04924136679254536,247,2025-12-31
11,one_time_buyer,cooling_down,0.1295530508292766,179.1429156762851,31.363371967008263,1,0.5514887511292736,6,mobile,email,0.03609715941370017,59,2025-12-27
12,heavy_buyer,cooling_down,0.6714133630169697,2.346062592341918,209.30236809372937,5,0.0256782928999525,17,desktop,organic,0.04834008020232732,272,2025-12-31
13,window_shopper,active,0.4847192821768328,147.59172829079714,16.034531901690876,1,0.6980597426643578,31,mobile,organic,0.011365709600644864,361,2025-12-31
14,casual_buyer,active,0.3014256686442366,20.752868314914423,57.61739075612476,1,0.3893308871810297,7,mobile,organic,0.031228620338291435,203,2025-12-27
15,casual_buyer,active,0.4006933334888841,18.307796218125624,114.84113924645368,2,0.3418013078935382,12,mobile,email,0.04873086400910017,298,2025-12-31
16,window_shopper,active,0.5694314492079684,147.48910193518208,30.20093641879905,1,0.3393671484607835,25,desktop,ad,0.08832670299335003,422,2025-12-31
